code,name,sector,market
1944,きんでん,建設業,プライム（内国株式）
1945,東京エネシス,建設業,プライム（内国株式）
1946,トーエネック,建設業,プライム（内国株式）
1948,弘電社,建設業,スタンダード（内国株式）
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業,グロース（内国株式）
1950,日本電設工業,建設業,プライム（内国株式）
1951,エクシオグループ,建設業,プライム（内国株式）
1952,新日本空調,建設業,プライム（内国株式）
1959,クラフティア,建設業,プライム（内国株式）
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,サービス業,グロース（内国株式）
1960,サンテック,建設業,スタンダード（内国株式）
1961,三機工業,建設業,プライム（内国株式）
1963,日揮ホールディングス,建設業,プライム（内国株式）
1964,中外炉工業,建設業,プライム（内国株式）
1965,テクノ菱和,建設業,スタンダード（内国株式）
1966,高田工業所,建設業,スタンダード（内国株式）
1967,ヤマト,建設業,スタンダード（内国株式）
1968,太平電業,建設業,プライム（内国株式）
1969,高砂熱学工業,建設業,プライム（内国株式）
196A,ＭＦＳ,その他金融業,グロース（内国株式）
1972,三晃金属工業,建設業,スタンダード（内国株式）
1975,朝日工業社,建設業,プライム（内国株式）
1976,明星工業,建設業,プライム（内国株式）
1979,大氣社,建設業,プライム（内国株式）
197A,タウンズ,医薬品,スタンダード（内国株式）
1980,ダイダン,建設業,プライム（内国株式）
1981,協和日成,建設業,スタンダード（内国株式）
1982,日比谷総合設備,建設業,プライム（内国株式）
198A,ＰｏｓｔＰｒｉｍｅ,情報・通信業,グロース（内国株式）
1992,神田通信機,建設業,スタンダード（内国株式）
1994,高橋カーテンウォール工業,建設業,スタンダード（内国株式）
1997,暁飯島工業,建設業,スタンダード（内国株式）
2001,ニップン,食料品,プライム（内国株式）
2002,日清製粉グループ本社,食料品,プライム（内国株式）
2003,日東富士製粉,食料品,スタンダード（内国株式）
2004,昭和産業,食料品,プライム（内国株式）
2009,鳥越製粉,食料品,スタンダード（内国株式）
2053,中部飼料,食料品,プライム（内国株式）
2055,日和産業,食料品,スタンダード（内国株式）
